Source	Target	Count
ANKLE	ROOT	0
ANKLE	SPEARTHROWER	0
BACK	BARK	0
BACK	ROOF	8
BACK	WALL (OF HOUSE)	0
BELLY	FIRE	0
BELLY	PEN	0
BLOOD VESSEL	ROOT	0
BODY	LEATHER	0
BODY	SHELL	0
BODY	TREE TRUNK	6
BONE	EGG	0
BONE	PLANT STEM	0
BONE	ROPE	0
BONE	SEED	0
BONE	SHELL	0
BONE	STICK	0
BONE	THORN	0
BONE	TREE	0
BUTTOCKS	BOTTOM	0
EAR	EARRING	66
EAR	LEAF	0
ELBOW	CORNER	0
EYE	FIRE	2
EYE	FRUIT	0
EYE	SEED	4
EYE	TREE	0
FACE	EDGE	0
FINGERNAIL	FORK	0
FINGERNAIL	NAIL (TOOL)	0
FINGERNAIL	STAR	0
FOOT	SHOE	24
FOOT	WHEEL	11
FOREHEAD	CAPE	0
HAIR	LEAF	0
HAIR (BODY)	LEAF	0
HAIR (HEAD)	LEAF	0
HAND	EGG	0
HAND	MOUNTAIN	0
HEAD	BRANCH	0
HEAD	GOURD	0
HEAD	ROOF	5
HEAD	SUMMIT	0
HEAD	TIP (OF OBJECT)	0
HEAD	TOP	6
HEART	FIREWOOD	0
HEART	STONE	0
HEEL	MORTAR	0
INTESTINES	BED	0
INTESTINES	SAUSAGE	13
KIDNEY	SEED	0
LEG	ANTHILL	0
LEG	SKY	0
LEG	TREE	0
LEG	TREE TRUNK	0
LIP	EDGE	3
LIP	SHORE	2
LIP	SHORE OF LAKE	0
LIVER	TREE	0
LUNG	LAKE	0
MOUTH	DOOR	5
MOUTH	EDGE	2
MOUTH	HOLE	3
NAPE (OF NECK)	HILL	0
NECK	COLLAR	44
NIPPLE	SEED	0
NOSE	CAPE	7
PENIS	SEED	0
RIB	SHORE	0
SHOULDER	AXE	0
SHOULDERBLADE	OAR	0
SHOULDERBLADE	PADDLE	0
SHOULDERBLADE	SHOVEL	0
SHOULDERBLADE	SPADE	0
SKIN	BARK	42
SKIN	BASKET	0
SKIN	BOOK	0
SKIN	LEAF	0
SKIN	LEATHER	18
SKIN	LOINCLOTH	0
SKIN	SHELL	4
SKIN	SKIN (OF FRUIT)	0
SKULL	TOP	0
TENDON	ROOT	0
TENDON	ROPE	0
TESTICLES	BALL	0
TESTICLES	EGG	2
TESTICLES	FRUIT	0
TESTICLES	SEED	0
THROAT	COLLAR	5
TONGUE	FLAME	29
TOOTH	LEAF	0
TOOTH	SEED	0
TOOTH	SPROUT (SHOOT)	0
TOOTH	SUN	0
VEIN	ROOT	0
WAIST	BELT	24
WAIST	PLOUGH (INSTRUMENT)	0
WAIST	SPADE	0
ROOT	ANKLE	0
SPEARTHROWER	ANKLE	0
BARK	BACK	0
ROOF	BACK	0
WALL (OF HOUSE)	BACK	0
FIRE	BELLY	0
PEN	BELLY	0
ROOT	BLOOD VESSEL	5
LEATHER	BODY	0
SHELL	BODY	0
TREE TRUNK	BODY	0
EGG	BONE	0
PLANT STEM	BONE	0
ROPE	BONE	0
SEED	BONE	0
SHELL	BONE	0
STICK	BONE	0
THORN	BONE	0
TREE	BONE	0
BOTTOM	BUTTOCKS	4
EARRING	EAR	2
LEAF	EAR	0
CORNER	ELBOW	0
FIRE	EYE	0
FRUIT	EYE	3
SEED	EYE	2
TREE	EYE	0
EDGE	FACE	0
FORK	FINGERNAIL	0
NAIL (TOOL)	FINGERNAIL	3
STAR	FINGERNAIL	0
SHOE	FOOT	0
WHEEL	FOOT	0
CAPE	FOREHEAD	0
LEAF	HAIR	0
LEAF	HAIR (BODY)	3
LEAF	HAIR (HEAD)	4
EGG	HAND	0
MOUNTAIN	HAND	0
BRANCH	HEAD	0
GOURD	HEAD	0
ROOF	HEAD	0
SUMMIT	HEAD	0
TIP (OF OBJECT)	HEAD	0
TOP	HEAD	3
FIREWOOD	HEART	0
STONE	HEART	0
MORTAR	HEEL	0
BED	INTESTINES	0
SAUSAGE	INTESTINES	14
SEED	KIDNEY	7
ANTHILL	LEG	0
SKY	LEG	0
TREE	LEG	0
TREE TRUNK	LEG	0
EDGE	LIP	9
SHORE	LIP	2
SHORE OF LAKE	LIP	0
TREE	LIVER	0
LAKE	LUNG	0
DOOR	MOUTH	2
EDGE	MOUTH	0
HOLE	MOUTH	0
HILL	NAPE (OF NECK)	0
COLLAR	NECK	0
SEED	NIPPLE	0
CAPE	NOSE	0
SEED	PENIS	0
SHORE	RIB	0
AXE	SHOULDER	0
OAR	SHOULDERBLADE	8
PADDLE	SHOULDERBLADE	8
SHOVEL	SHOULDERBLADE	4
SPADE	SHOULDERBLADE	12
BARK	SKIN	6
BASKET	SKIN	0
BOOK	SKIN	0
LEAF	SKIN	0
LEATHER	SKIN	6
LOINCLOTH	SKIN	0
SHELL	SKIN	0
SKIN (OF FRUIT)	SKIN	0
TOP	SKULL	14
ROOT	TENDON	0
ROPE	TENDON	0
BALL	TESTICLES	2
EGG	TESTICLES	24
FRUIT	TESTICLES	10
SEED	TESTICLES	10
COLLAR	THROAT	0
FLAME	TONGUE	0
LEAF	TOOTH	0
SEED	TOOTH	0
SPROUT (SHOOT)	TOOTH	0
SUN	TOOTH	0
ROOT	VEIN	0
BELT	WAIST	5
PLOUGH (INSTRUMENT)	WAIST	0
SPADE	WAIST	0
