Source	Target	CLIPS	DSS-Polysemy	DSS-Derivation
EGG	TESTICLES	12	8	1
TESTICLES	EGG	2	0	0
TESTICLES	STONE OR ROCK	0	0	0
TESTICLES	FRUIT	0	0	0
HEART	LUNG	2	1	2
HEART	BRAVE	6	2	4
LUNG	HEART	0	0	0
LUNG	LIVER	0	0	3
LUNG	LIGHT (WEIGHT)	0	0	0
LIVER	LUNG	4	3	8
LIVER	STOMACH	3	1	0
EARTH (SOIL)	POTATO	3	1	1
POTATO	EARTH (SOIL)	0	0	0
POTATO	YAM	2	0	0
POTATO	SWEET POTATO	4	0	0
NOSE	NOSTRIL	37	4	2
NOSTRIL	NOSE	0	0	0
TREE	MUSHROOM	4	2	4
MUSHROOM	TREE	0	0	0
MUSHROOM	EAR	2	0	0
STONE OR ROCK	TESTICLES	2	3	1
SKY	WEATHER	5	2	1
WEATHER	SKY	2	0	0
SUN	DAY (NOT NIGHT)	6	10	5
SUN	SUNDAY	9	3	4
SUN	EYE	0	0	0
DAY (NOT NIGHT)	SUN	8	5	24
SUNDAY	SUN	0	0	0
SUNDAY	MARKET	0	1	0
SUNDAY	WEEK	2	6	1
MOON	MONTH	5	71	6
MONTH	MOON	5	0	0
WIND	AIR	3	1	1
AIR	WIND	3	0	0
RAINBOW	BOW	0	0	0
RAINBOW	BELT	0	0	0
BOW	RAINBOW	5	3	1
PERSON	SERVANT	9	2	1
PERSON	HUSBAND	3	1	1
SERVANT	PERSON	0	0	0
HUSBAND	PERSON	0	0	0
HUSBAND	FATHER	2	0	0
HUSBAND	OLD MAN	8	0	0
HUSBAND	MASTER	4	0	0
HUSBAND	MARRY	12	0	1
HUSBAND	HOUSE	0	0	0
WOMAN	WIFE	10	5	1
WIFE	WOMAN	9	3	0
WIFE	OLD WOMAN	10	0	0
WIFE	QUEEN	10	0	1
WIFE	HOUSE	0	0	0
OLD WOMAN	WIFE	0	4	1
QUEEN	WIFE	0	1	0
BOY	SMALL	0	0	0
SMALL	BOY	11	1	1
GIRL	DAUGHTER	4	0	0
DAUGHTER	GIRL	10	1	1
FATHER	HUSBAND	2	1	2
FATHER	PARENTS	21	3	6
FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	16	2	3
FATHER	ANCESTORS	8	8	5
FATHER	BIG	4	1	1
OLD MAN	HUSBAND	2	15	1
OLD MAN	GRANDFATHER	3	0	0
MASTER	HUSBAND	0	2	1
MARRY	HUSBAND	3	3	2
PARENTS	FATHER	0	0	0
PATERNAL UNCLE (FATHER'S BROTHER)	FATHER	0	0	0
ANCESTORS	FATHER	0	0	0
ANCESTORS	GRANDFATHER	2	0	0
BIG	FATHER	0	0	0
GRANDFATHER	OLD MAN	4	4	1
GRANDFATHER	ANCESTORS	17	5	1
FAMILY	HOUSE	0	0	0
HOUSE	FAMILY	12	3	1
HOUSE	WIFE	3	2	2
HOUSE	HUSBAND	5	1	2
BIRD	BAT	3	1	1
BAT	BIRD	0	0	0
DOG	HORSE	2	1	1
DOG	WOLF	10	1	1
HORSE	DOG	0	0	0
WOLF	DOG	0	0	0
FIN	WING	5	0	0
WING	FIN	12	4	1
WORM	SNAKE	2	1	1
SNAKE	WORM	6	0	0
FROG	TURTLE	4	1	4
TURTLE	FROG	0	0	1
TURTLE	SHIELD	0	0	0
BEARD	CHIN	4	1	0
CHIN	BEARD	10	1	1
TAIL	END (OF SPACE)	2	2	1
END (OF SPACE)	TAIL	0	1	0
BACK	BEHIND	12	2	1
BEHIND	BACK	2	0	0
HEAD	TOP	4	3	1
TOP	HEAD	3	0	0
TEMPLES	SLEEP	2	0	0
SLEEP	TEMPLES	0	1	1
SLEEP	COPULATE	2	3	1
EYE	SUN	4	1	2
EAR	MUSHROOM	6	1	2
MOUTH	HOLE	3	7	1
HOLE	MOUTH	0	0	0
SHOULDERBLADE	SPADE	0	0	0
SPADE	SHOULDERBLADE	4	1	1
BRAVE	HEART	0	0	0
LIGHT (WEIGHT)	LUNG	3	1	7
STOMACH	LIVER	0	0	1
INTESTINES	SAUSAGE	6	3	1
SAUSAGE	INTESTINES	3	0	0
FRUIT	TESTICLES	8	1	1
COPULATE	SLEEP	0	0	0
COPULATE	GO	0	0	0
RISE (MOVE UPWARDS)	EAST	4	2	1
EAST	RISE (MOVE UPWARDS)	0	0	0
PREGNANT	HEAVY	0	0	0
PREGNANT	CARRY	0	0	0
HEAVY	PREGNANT	4	6	3
CARRY	PREGNANT	3	3	2
SEIZE	UNDERSTAND	2	7	2
UNDERSTAND	SEIZE	0	0	0
SEEM	SEE	0	0	0
SEE	SEEM	4	2	1
SEE	MEET	3	3	1
SEE	GUARD	4	1	1
FEVER	HOT	3	0	0
HOT	FEVER	9	3	2
COMMON COLD (DISEASE)	COLD	2	0	0
COLD	COMMON COLD (DISEASE)	8	4	2
COLD	WINTER	12	1	0
BRUISE	BLUE	0	0	0
BLUE	BRUISE	5	3	2
BALD	NAKED	0	0	0
NAKED	BALD	3	1	1
DINNER (SUPPER)	EVENING	2	0	0
EVENING	DINNER (SUPPER)	10	1	1
MIX	DOUGH	2	1	1
DOUGH	MIX	0	0	0
YAM	POTATO	0	2	1
SWEET POTATO	POTATO	6	2	4
SUGAR	HONEY	3	1	0
HONEY	SUGAR	0	0	1
CLOTHES	CLOTH	8	0	0
CLOTHES	DRESS	15	1	0
CLOTH	CLOTHES	8	1	1
DRESS	CLOTHES	3	0	1
BELT	RAINBOW	2	1	3
DWELL (LIVE, RESIDE)	STAND	2	0	0
STAND	DWELL (LIVE, RESIDE)	0	1	1
PLANT (VEGETATION)	GREEN	2	0	1
GREEN	PLANT (VEGETATION)	0	4	2
SELL	GIVE	0	0	0
GIVE	SELL	4	1	2
GOLD	MONEY	2	3	0
GOLD	YELLOW	0	1	0
MONEY	GOLD	3	0	3
MONEY	SILVER	7	6	6
YELLOW	GOLD	3	1	7
SILVER	MONEY	3	17	2
SILVER	WHITE	0	0	0
FALL	ATTACK	2	2	1
ATTACK	FALL	0	0	0
THROW	ACCUSE	2	2	2
ACCUSE	THROW	0	0	0
JUMP	DANCE	5	4	3
DANCE	JUMP	0	0	0
GO	COPULATE	3	1	1
GO	FIND	2	1	1
FIND	GO	0	0	0
THING	WANT	2	0	0
WANT	THING	0	1	1
GIVE BACK	ANSWER	2	3	1
ANSWER	GIVE BACK	0	0	0
MARKET	SUNDAY	3	3	1
SHARP	FAST	3	1	1
FAST	SHARP	0	0	0
FAST	SOON	5	2	1
FAR	LONG	2	0	0
LONG	FAR	4	1	1
LONG	FOR A LONG TIME	10	2	0
FOR A LONG TIME	LONG	0	0	1
COUNT	READ	2	2	1
READ	COUNT	2	0	0
EARLY	MORNING	8	2	1
MORNING	EARLY	10	1	0
MORNING	TOMORROW	4	4	5
SOON	FAST	3	0	0
TOMORROW	MORNING	5	0	2
TOMORROW	YESTERDAY	2	0	1
MIDDAY	LUNCH	12	1	1
LUNCH	MIDDAY	0	1	0
YESTERDAY	TOMORROW	2	2	0
HOUR	CLOCK	5	4	2
CLOCK	HOUR	6	0	0
WEEK	SUNDAY	11	0	1
WEEK	FRIDAY	9	0	0
FRIDAY	WEEK	0	1	1
WINTER	COLD	0	1	1
TASTE (SOMETHING)	TRY	2	2	1
TRY	TASTE (SOMETHING)	5	1	0
MEET	SEE	0	0	0
GUARD	SEE	0	0	0
WHITE	WHEAT	3	1	1
WHITE	SILVER	7	1	4
WHEAT	WHITE	0	0	0
BLACK	PRIEST	2	1	2
PRIEST	BLACK	0	0	0
RED	EMBERS	3	0	0
EMBERS	RED	0	1	1
GOOD	CHOOSE	2	0	0
GOOD	BEAUTIFUL	20	0	2
CHOOSE	GOOD	0	1	1
BEAUTIFUL	GOOD	3	4	0
CAUSE	CALL	2	0	0
CAUSE	WAKE UP	2	0	0
CAUSE	LEAD (GUIDE)	3	0	0
CALL	CAUSE	0	2	1
WAKE UP	CAUSE	0	3	1
LEAD (GUIDE)	CAUSE	0	3	1
SING	ROOSTER	2	1	2
ROOSTER	SING	0	0	0
ASK (REQUEST)	PRAY	8	7	1
PRAY	ASK (REQUEST)	0	2	0
SHIELD	TURTLE	2	1	2
